Année,Sexe,Rang,Prénom,Total
1932,Féminin,4,MONIQUE,9453
1932,Féminin,5,YVETTE,7984
1933,Masculin,1,JEAN,32858
1933,Masculin,2,ANDRÉ,15796
1933,Masculin,3,PIERRE,14874
1933,Masculin,4,MICHEL,14417
1933,Masculin,5,CLAUDE,11216
1933,Féminin,1,MARIE,24982
1933,Féminin,2,JACQUELINE,11190
1933,Féminin,3,MONIQUE,10066
1933,Féminin,4,JEANNINE,9898
1933,Féminin,5,DENISE,7263
1934,Masculin,1,JEAN,33518
1934,Masculin,2,MICHEL,15675
1934,Masculin,3,ANDRÉ,15452
1934,Masculin,4,PIERRE,14670
1934,Masculin,5,CLAUDE,12911
1934,Féminin,1,MARIE,24791
1934,Féminin,2,JACQUELINE,11764
1934,Féminin,3,MONIQUE,11570
1934,Féminin,4,JEANNINE,9645
1934,Féminin,5,DENISE,6998
1935,Masculin,1,JEAN,32690
1935,Masculin,2,MICHEL,15749
1935,Masculin,3,PIERRE,14154
1935,Masculin,4,ANDRÉ,13989
1935,Masculin,5,CLAUDE,13013
1935,Féminin,1,MARIE,23544
1935,Féminin,2,MONIQUE,11838
1935,Féminin,3,JACQUELINE,10808
1935,Féminin,4,JEANNINE,8729
1935,Féminin,5,DENISE,6559
1936,Masculin,1,JEAN,33321
1936,Masculin,2,MICHEL,15882
1936,Masculin,3,CLAUDE,14852
1936,Masculin,4,PIERRE,13431
1936,Masculin,5,ANDRÉ,13212
1936,Féminin,1,MARIE,23127
1936,Féminin,2,MONIQUE,12490
1936,Féminin,3,JACQUELINE,10369
1936,Féminin,4,JEANNINE,8209
1936,Féminin,5,NICOLE,7187
1937,Masculin,1,JEAN,33689
1937,Masculin,2,MICHEL,16355
1937,Masculin,3,CLAUDE,14310
1937,Masculin,4,PIERRE,12861
1937,Masculin,5,ANDRÉ,12642
1937,Féminin,1,MARIE,22717
1937,Féminin,2,MONIQUE,13228
1937,Féminin,3,JACQUELINE,9953
1937,Féminin,4,NICOLE,7887
1937,Féminin,5,JEANNINE,7507
1938,Masculin,1,JEAN,35356
